"","LAT","LONG","seasonal","tempWarmest","tempColdest","preciWettest","preciDriest","preciCV","PAR_SPRING","growingL","conseqCold","conseqFrFree","RelHumidSp","dayLSp","aridity"
"6122",55.8364,13.3075,6187,201,-31,71,37,22,71.57222,8,17.9,158.41,71.525199,13.222599,1.27999997
"6121",55.8422,13.3019,6173,201,-31,71,37,22,71.57222,8,17.9,158.41,71.525199,13.222599,1.27999997
"6119",55.7,13.2,6173,202,-27,68,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.13800001
"6116",55.8,13.1369,6215,204,-29,69,34,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6115",55.8,13.1367,6215,204,-29,69,34,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6114",55.8097,13.1342,6199,202,-30,69,35,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6111",55.7989,13.1219,6200,203,-29,69,34,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6110",55.7958,13.1217,6200,203,-29,69,34,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6108",55.7989,13.1206,6200,203,-29,69,34,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6107",55.7942,13.1222,6200,203,-29,69,34,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6106",55.7931,13.1186,6200,203,-29,69,34,22,71.57222,8,20.43,171.37,71.894096,13.199299,1.09599996
"6104",55.7,13.2,6173,202,-27,68,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.13800001
"6103",55.7,13.2,6173,202,-27,68,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.13800001
"6102",55.6,13.2,6139,201,-27,67,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6101",55.6,13.2,6139,201,-27,67,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6100",55.6,13.2,6139,201,-27,67,35,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6099",55.6575,13.2386,6183,204,-26,67,34,22,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6098",55.6561,13.2178,6169,203,-26,67,34,22,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6097",55.6481,13.2264,6169,203,-26,67,34,22,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6096",55.6472,13.2225,6169,203,-26,67,34,22,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6095",55.6486,13.2161,6174,203,-26,67,34,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6093",55.6497,13.2203,6169,203,-26,67,34,22,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6092",55.6514,13.2233,6169,203,-26,67,34,22,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6091",55.6525,13.215,6169,203,-26,67,34,21,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6090",55.6525,13.2197,6169,203,-26,67,34,22,71.57222,8,16.05,154.32,71.894096,13.199299,1.07799995
"6177",62.6322,17.69,8352,198,-128,77,40,23,68.158333,6,25.43,122.48,74.726997,13.7902,1.403
"6221",62.806,18.1896,8626,204,-126,76,39,24,74.995834,6,37.6,112.09,88.130798,13.7902,1.442
"6244",62.9169,18.4728,8702,203,-132,75,38,24,74.995834,6,40.96,110.77,74.691299,13.8688,1.39600003
"6241",62.9614,18.3608,8685,204,-131,74,37,24,74.995834,6,43.9,96.62,86.811302,13.8688,1.39600003
"6240",62.9622,18.35,8686,204,-130,74,37,24,74.995834,6,43.9,96.62,86.811302,13.8688,1.39600003
"6238",62.9619,18.35,8686,204,-130,74,37,24,74.995834,6,43.9,96.62,86.811302,13.8688,1.39600003
